
ITEM ,COLOUR,BRAND,SIZE,PACK SIZE,QUANTITY ,COST PER PACK ,SUPPLIER,SUPPLIER CODE,CATEGORY,DEPARTMENT,GROUP,LOCATION,BUFFER STOCK,NEW ORDER,APPROVED ORDER,ORDERS READY,
A CUP , , , , ,0, , , , ,IT , ,MAIN HUB ,0 ,0 ,0 ,0 ,
 BLACK AND YELLOW WASTE BAGS , , ,90l ,25 ,10, ,MEDISAVE , , ,SERVICE , ,MAIN HUB ,0 ,10 ,0 ,0 ,
NITRILE GLOVES , , ,xl ,100 ,158,18 ,transition corporation ltd , , ,ELECTRICALS , ,MAIN HUB ,100 ,15 ,0 ,40 ,
NITRILE GLOVES , , ,xl ,100 ,158,18 ,transition corporation ltd , , ,ELECTRICALS , ,(PTS) CROYDON HOSPITAL ,100 ,15 ,0 ,40 ,
NITRILE GLOVES , , ,xl ,100 ,158,18 ,transition corporation ltd , , ,ELECTRICALS , ,(PTS) ST PANCRAS HOSPITAL ,100 ,15 ,0 ,40 ,
NITRILE GLOVES , , ,xl ,100 ,158,18 ,transition corporation ltd , , ,ELECTRICALS , ,(H2S) STOCKHOLM ROAD  ,100 ,15 ,0 ,40 ,
NITRILE GLOVES , , ,xl ,100 ,158,18 ,transition corporation ltd , , ,ELECTRICALS , ,(H2S) CROYDON  ,100 ,15 ,0 ,40 ,
LINEN BAG , , ,WHITE ,50 ,10,Â£5.75 ,DORSET NURSING SUPPLIES , , ,SERVICE , ,MAIN HUB ,10 ,0 ,0 ,0 ,
LINEN BAG , , ,WHITE ,50 ,10,Â£5.75 ,DORSET NURSING SUPPLIES , , ,SERVICE , ,(PTS) PETERBOROUGH & CAMBRIDGESHIRE   ,10 ,0 ,0 ,0 ,
COLD COMPRESS , ,SP SERVICES ,ICE PACKS ,20 ,2,17 , , , ,HEALTH & SAFETY , ,MAIN HUB ,5 ,0 ,0 ,0 ,
COLD COMPRESS , ,SP SERVICES ,ICE PACKS ,20 ,2,17 , , , ,HEALTH & SAFETY , ,(PTS) CHELSEA & WESTMINSTER ,5 ,0 ,0 ,0 ,
CCTV POSTERS , , ,Various ,1 ,0, , , , ,IT , ,MAIN HUB ,0 ,0 ,0 ,0 ,
FIRST AID POSTER , , ,A4 ,1 ,0, , , , ,IT , ,MAIN HUB ,0 ,0 ,0 ,0 ,
FIRST AID POSTER , , ,A4 ,1 ,0, , , , ,IT , ,(MH) EAST LONDON ,0 ,0 ,0 ,0 ,
FIRE EVACUATION POSTER , , ,A3 ,1 ,0, , , , ,IT , ,MAIN HUB ,0 ,0 ,0 ,0 ,
HEALTH & SAFETY EXECUTIVE POSTER , , ,A3 ,1 ,0, , , , ,IT , ,MAIN HUB ,0 ,0 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,MAIN HUB ,0 ,40 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,(PTS) CHELSEA & WESTMINSTER ,0 ,40 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,(H2S) EAST LONDON ,0 ,40 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,(MH) EAST LONDON ,0 ,40 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,(PTS) GOSH  ,0 ,40 ,0 ,0 ,
HATS NHS LANYARDS ( NEW DESIGN ) , , , ,1 ,1794, , , , , , ,CLEVELAND CLINIC LONDON ,0 ,40 ,0 ,0 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,MAIN HUB ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(PTS) CROYDON HOSPITAL ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(PTS) ST PANCRAS HOSPITAL ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(PTS) HILLINGDON HOSPITAL ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(H2S) STOCKHOLM ROAD  ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(H2S) CROYDON  ,100 ,15 ,0 ,98 ,
GLOVES NITRILE , , ,large ,100 ,122, , , , ,ELECTRICALS , ,(H2S) BIRMINGHAM ,100 ,15 ,0 ,98 ,
MEGAMOVER TRASFER SHEET , , , ,1 ,1,32.99 ,NINE GROUP , , ,TRAINING  , ,MAIN HUB ,2 ,0 ,0 ,1 ,
MEGAMOVER TRASFER SHEET , , , ,1 ,1,32.99 ,NINE GROUP , , ,TRAINING  , ,(PTS) MANCHESTER  ,2 ,0 ,0 ,1 ,
MEGAMOVER TRASFER SHEET , , , ,1 ,1,32.99 ,NINE GROUP , , ,TRAINING  , ,(PTS) ST PANCRAS HOSPITAL ,2 ,0 ,0 ,1 ,
MEGAMOVER TRASFER SHEET , , , ,1 ,1,32.99 ,NINE GROUP , , ,TRAINING  , ,(PTS) ROYAL BROMPTON HOSPITAL ,2 ,0 ,0 ,1 ,
